DEPT,BASEMENT,CALI,DCALI_FINAL,DTC,DTS,FLWPMPS,GR,LLD,LLM,LLS,NPHI,RHOB,ROP,RPM,TORQUE,WELL,WOB
3684.4224,0,,0.555871666,61.76197052,,463.4479981,73.58394623,1917.936523,,95.88247681,0.173188984,2.59029913,12.37783051,172.0720062,7614.600098,15-1-SN-2X,18.34208107
3684.5748,0,,0.507064045,62.49298477,,466.4960022,73.86968994,1691.958496,,84.68802643,0.174999997,2.569640398,12.78680706,138.5440064,1080.450073,15-1-SN-2X,21.07766151
3684.7272,0,,0.486984789,62.36933899,,465.7279968,76.08348084,1564.046509,,78.52583313,0.173811019,2.568152189,16.48978615,131.0919952,0,15-1-SN-2X,24.61459923
3684.8796,0,,0.475031763,62.16490173,,463.8059998,79.63660431,1464.172363,,75.21779633,0.170414701,2.582341194,19.82181549,129.602005,0,15-1-SN-2X,28.27447891
3685.032,0,,0.43900013,61.09469986,,462.1600037,83.71246338,1322.594971,,72.23047638,0.166811019,2.591603756,15.61969852,129.3200073,0,15-1-SN-2X,31.0807991
3685.1844,0,,0.357754052,58.88867569,,462.9219971,86.47026825,1127.044922,,67.44207764,0.167377964,2.585055113,14.06474209,130.8439941,0,15-1-SN-2X,30.79886055
3685.3368,0,,0.264122814,55.80599213,,463,86.14727783,912.4632568,,59.37451553,0.177737534,2.571640492,15.13014221,130.3159943,0,15-1-SN-2X,31.19408035
3685.4892,0,,0.204977706,53.7281456,,462.5539856,83.87108612,721.9239502,,49.31829071,0.189188972,2.569359541,12.52558327,129.5540009,0,15-1-SN-2X,32.05007935
3685.6416,0,,0.188044176,53.17324448,,463.4559937,84.1353302,594.0929565,,41.47197342,0.181884512,2.587097168,10.49666214,129.6239929,0,15-1-SN-2X,32.72023773
3685.794,0,,0.187000275,53.55986786,,468.7900085,91.34677124,545.9069214,,38.52386093,0.15888451,2.612719297,15.31749153,131.9100037,0,15-1-SN-2X,32.17160034
3685.9464,0,,0.161900356,53.74742889,,463.1440125,104.830658,567.1210938,,39.83008957,0.140640423,2.625207424,15.94884014,129.8040009,0,15-1-SN-2X,22.62668037
3686.0988,0,,0.124049269,53.41598129,,461,118.8242798,663.9249878,,45.27159882,0.128847778,2.615677118,12.7552042,129,0,15-1-SN-2X,19.45615959
3686.2512,0,,0.1240362,54.16559601,,461,128.5393066,809.5917969,,53.32198715,0.114658788,2.593884468,6.849716187,129,0,15-1-SN-2X,20.06159973
3686.4036,0,,0.151927218,55.7116127,,461,134.4171906,865.5036621,,56.04816818,0.100640416,2.574451447,7.147174358,129,0,15-1-SN-2X,20.88323975
3686.556,0,,0.161999703,58.00702286,,461,139.3422546,749.62146,,48.5928154,0.0924147,2.562829495,10.77494812,129,0,15-1-SN-2X,21.02039909
3686.7084,0,,0.153015569,61.28419495,,461,144.0131531,572.4763184,,37.49412918,0.089207351,2.553244114,12.62369442,129,0,15-1-SN-2X,22.12232018
3686.8608,0,,0.158992559,63.79238892,,461,147.5598602,462.5272827,,30.19093704,0.086414695,2.543622017,9.406263351,129,0,15-1-SN-2X,23.85296059
3687.0132,0,,0.171006069,64.92470551,,460.9339905,150.2830963,416.4620667,,26.19278526,0.083603673,2.5427742,8.027789116,129.0659943,0,15-1-SN-2X,25.63855934
3687.1656,0,,0.175986573,64.09627533,,460.1719971,152.9324188,393.7195435,,23.39319611,0.083792649,2.551755905,8.375323296,129.8280029,0,15-1-SN-2X,24.23648071
3687.318,0,,0.204000473,62.1221695,,463.5400085,155.3263855,388.4729004,,22.23110771,0.086585306,2.560189009,13.93165302,130.5899963,0,15-1-SN-2X,23.34180069
3687.4704,0,,0.296373397,60.24411774,,464.5920105,156.9552002,421.243103,,23.85330963,0.090585306,2.556847811,19.14466667,130.2960053,0,15-1-SN-2X,24.01008034
3687.6228,0,,0.43881321,59.11764145,,461.8859863,155.7935333,538.2171021,,29.67558479,0.094188981,2.531165361,14.38846588,129,0,15-1-SN-2X,26.44284058
